state,jurisdiction,document,pdf_url,text_url,title
Colorado,Aurora,Police Union Contract,https://www.checkthepolice.org/s/Aurora-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Colorado/Aurora/Police%20Union%20Contract.txt,Aurora Police Union Contract
Colorado,Denver,Police Union Contract,https://www.checkthepolice.org/s/Denver-police-contract.PDF,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Colorado/Denver/Police%20Union%20Contract.txt,Denver Police Union Contract
New Jersey,Jersey City,Police Union Contract,https://www.checkthepolice.org/s/Jersey-City-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/New%20Jersey/Jersey%20City/Police%20Union%20Contract.txt,Jersey City Police Union Contract
New Jersey,Newark,Police Union Contract,https://www.checkthepolice.org/s/Newark-police-supervisors-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/New%20Jersey/Newark/Police%20Union%20Contract.txt,Newark Police Union Contract
Alaska,Anchorage,Police Union Contract,https://www.checkthepolice.org/s/Anchorage-police-contract.PDF,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Alaska/Anchorage/Police%20Union%20Contract.txt,Anchorage Police Union Contract
Oklahoma,Tulsa,Police Union Contract,https://www.checkthepolice.org/s/Tulsa-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Oklahoma/Tulsa/Police%20Union%20Contract.txt,Tulsa Police Union Contract
Oklahoma,Oklahoma City,Police Union Contract,https://www.checkthepolice.org/s/Oklahoma-City-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Oklahoma/Oklahoma%20City/Police%20Union%20Contract.txt,Oklahoma City Police Union Contract
Washington,Spokane,pt. 2,https://www.checkthepolice.org/s/Spokanepolicecontract2.PDF,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Washington/Spokane/pt.%202.txt,Spokane pt. 2
Washington,Seattle,Police Union Contract,https://www.seattle.gov/personnel/resources/pubs/SPOG_CBA_2015-2020.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Washington/Seattle/Police%20Union%20Contract.txt,Seattle Police Union Contract
"Washington, DC",Washington DC Metropolitan,Police Union Contract,https://www.checkthepolice.org/s/MPD-FOP-CBA-FY-2013-2017_r.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Washington%2C%20DC/Washington%20DC%20Metropolitan/Police%20Union%20Contract.txt,Washington DC Metropolitan Police Union Contract
Hawaii,Honolulu,Police Union Contract,https://www.checkthepolice.org/s/Honolulu-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Hawaii/Honolulu/Police%20Union%20Contract.txt,Honolulu Police Union Contract
Minnesota,St. Paul,Police Union Contract,https://www.checkthepolice.org/s/StPaulcontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Minnesota/St.%20Paul/Police%20Union%20Contract.txt,St. Paul Police Union Contract
Minnesota,State,Minnesota Police Bill of Rights,https://www.checkthepolice.org/s/Minnesota-PBR.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Minnesota/State/Minnesota%20Police%20Bill%20of%20Rights.txt,State Minnesota Police Bill of Rights
Kansas,Wichita,Police Union Contract,https://www.checkthepolice.org/s/Wichita-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Kansas/Wichita/Police%20Union%20Contract.txt,Wichita Police Union Contract
Texas,Houston,Police Union Contract,https://www.checkthepolice.org/s/Houstonpolicecontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/Houston/Police%20Union%20Contract.txt,Houston Police Union Contract
Texas,Laredo,Police Union Contract,https://www.checkthepolice.org/s/Laredo-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/Laredo/Police%20Union%20Contract.txt,Laredo Police Union Contract
